channel,spend,estimated_incremental_calls_mean,estimated_incremental_calls_p05,estimated_incremental_calls_p95,estimated_incremental_value,ROAS_mean,ROAS_p05,ROAS_p95,cost_per_incremental_call,marginal_calls_per_1000,mROAS_per_next_1000,current_saturation_index
Google Search,1356852.4899999998,6505.820401641177,1654.0476815794111,11298.337409804019,1463809.5903692648,1.0788273604961032,0.2742823785917713,1.8735462667765046,208.55978281504915,9.549760940484873,2.148696211609096,0.7395125
Meta,906933.9900000001,4265.885372019172,7.985920000000001e-05,9415.798032597717,959824.2087043137,1.0583176055672072,1.981215854529832e-08,2.33595231923603,212.60158464378074,6.987470226678237,1.5721808010026035,0.7746375
YouTube,493935.25,3913.890010195371,2249.3757062757063,5516.855514826799,880625.2522939584,1.7828758977901629,1.024647530039684,2.513067230646182,126.20059549791591,6.621366935525539,1.4898075604932461,0.80735
Display,377477.79000000004,5799.9095039093045,1475.4669004469956,10353.13625810914,1304979.6383795936,3.4571031010317013,0.8794691009518043,6.171106538677564,65.08339306769687,4.932299653814071,1.109767422108166,0.5982999999999999
